시간대,긍정,부정,총 댓글 수,log_댓글수,긍정률,긍정률_이동평균
2025-05-15 17:00:00,4.0,47.0,51.0,3.9512437185814275,7.8431372549019605,11.033182503770739
2025-05-15 18:00:00,5.0,17.0,22.0,3.1354942159291497,22.727272727272727,13.608940079528315
2025-05-15 19:00:00,4.0,32.0,36.0,3.6109179126442243,11.11111111111111,13.893840364428598
2025-05-15 20:00:00,17.0,41.0,58.0,4.07753744390572,29.310344827586203,21.049576221990012
2025-05-15 21:00:00,3.0,16.0,19.0,2.995732273553991,15.789473684210526,18.73697654096928
2025-05-15 22:00:00,4.0,21.0,25.0,3.258096538021482,16.0,20.36660617059891
2025-05-15 23:00:00,4.0,24.0,28.0,3.367295829986474,14.285714285714285,15.358395989974937
2025-05-16 00:00:00,5.0,11.0,16.0,2.833213344056216,31.25,20.511904761904763
2025-05-16 01:00:00,2.0,7.0,9.0,2.302585092994046,22.22222222222222,22.585978835978835
2025-05-16 02:00:00,1.0,7.0,8.0,2.1972245773362196,12.5,21.990740740740744
2025-05-16 03:00:00,0.0,3.0,3.0,1.3862943611198906,5.0,13.24074074074074
2025-05-16 04:00:00,1.0,1.0,2.0,1.0986122886681096,50.0,22.5
2025-05-16 05:00:00,0.0,4.0,4.0,1.6094379124341003,5.0,20.0
2025-05-16 06:00:00,2.0,8.0,10.0,2.3978952727983707,20.0,25.0
2025-05-16 07:00:00,1.0,10.0,11.0,2.4849066497880004,9.090909090909092,11.363636363636365
2025-05-16 08:00:00,3.0,7.0,10.0,2.3978952727983707,30.0,19.6969696969697
2025-05-16 09:00:00,2.0,7.0,9.0,2.302585092994046,22.22222222222222,20.43771043771044
2025-05-16 10:00:00,0.0,4.0,4.0,1.6094379124341003,5.0,19.074074074074073
2025-05-16 11:00:00,2.0,11.0,13.0,2.639057329615259,15.384615384615385,14.202279202279202
2025-05-16 12:00:00,7.0,24.0,31.0,3.4657359027997265,22.58064516129032,14.321753515301902
2025-05-16 13:00:00,2.0,15.0,17.0,2.8903717578961645,11.76470588235294,16.576655476086216
2025-05-16 14:00:00,5.0,13.0,18.0,2.9444389791664403,27.77777777777778,20.707709607140348
2025-05-16 15:00:00,4.0,39.0,43.0,3.784189633918261,9.30232558139535,16.28160308050869
2025-05-16 16:00:00,6.0,10.0,16.0,2.833213344056216,37.5,24.86003445305771
2025-05-16 17:00:00,7.0,38.0,45.0,3.828641396489095,15.555555555555555,20.785960378983635
2025-05-16 18:00:00,2.0,18.0,20.0,3.044522437723423,10.0,21.01851851851852
